audio_id,dataset,category,audio_path,audio_url,reference_path,reference_text
speech_S000012_000166,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000012\000166.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000012\000166.txt,
speech_S000018_000377,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000018\000377.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000018\000377.txt,
speech_S000023_000440,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000023\000440.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000023\000440.txt,
speech_S000027_000154,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000027\000154.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000027\000154.txt,
speech_S000023_000528,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000023\000528.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000023\000528.txt,
speech_S000018_000229,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000018\000229.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000018\000229.txt,
speech_S000019_000236,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000019\000236.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000019\000236.txt,
speech_S000017_000485,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000017\000485.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000017\000485.txt,
speech_S000027_000026,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000027\000026.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000027\000026.txt,
speech_S000027_000506,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000027\000506.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000027\000506.txt,
speech_S000018_000329,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000018\000329.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000018\000329.txt,
speech_S000012_000193,KconfSpeech,meeting,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\원천데이터\KconfSpeech_train_D20_wav_0\D20\G02\S000012\000193.wav,,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\speech_data\라벨링데이터\KconfSpeech_train_D20_label_0\D20\G02\S000012\000193.txt,
