audio_id,dataset,category,audio_path,reference_required
upfiles4_5663764b56238b2ac39ab5c564562cd00,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles4_5663764b56238b2ac39ab5c564562cd00.mp3,true
upfiles3_8a8599a5f6e9b8cd5c746033856424e90,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles3_8a8599a5f6e9b8cd5c746033856424e90.mp3,true
upfiles2_c643c7a7d22bd3d8132a83651c36eb980,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles2_c643c7a7d22bd3d8132a83651c36eb980.mp3,true
upfiles2_9e8ea1b7761705116b116e32350b5f4e0,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles2_9e8ea1b7761705116b116e32350b5f4e0.mp3,true
upfiles1_76082950d4f9aaa1d597d55d805807d40,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles1_76082950d4f9aaa1d597d55d805807d40.mp3,true
upfiles3_74d4c9e978f11a1314b7442f433cb07c0,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles3_74d4c9e978f11a1314b7442f433cb07c0.mp3,true
upfiles4_104fda04b7a38e840f5280e26d4b1a190,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles4_104fda04b7a38e840f5280e26d4b1a190.mp3,true
upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles2_d4c12ef8f1f3f12c854af514ce8f529e0.mp3,true
upfiles2_0973cc131552dbe59a689e8eaaaaf1c80,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles2_0973cc131552dbe59a689e8eaaaaf1c80.mp4,true
upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles3_93c3a4867fe14f1db88e0d81d8d4b8b20.mp3,true
upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles1_abdf329dc91bc589eb5ca27ab3ff25cf0.mp3,true
upfiles2_e72a14a47b60d663f5806141a8dcf36d0,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles2_e72a14a47b60d663f5806141a8dcf36d0.mp3,true
upfiles2_d367eef014c39b7fc8f52f76448e6f4a0,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles2_d367eef014c39b7fc8f52f76448e6f4a0.mp3,true
upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles2_5b7477afd9e6dd12b79c5c8686c9d7f80.mp3,true
upfiles2_311fd898dd6b6673932f9e9c4addd6180,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles2_311fd898dd6b6673932f9e9c4addd6180.mp3,true
upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles3_cfeb0d362732d8c09c3fd27f7f79ec4c0.mp3,true
upfiles2_937fcd9107397bfb87fb729cacb95c0c0,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles2_937fcd9107397bfb87fb729cacb95c0c0.wav,true
upfiles3_73681277f08f4465bc5894864520c83b0,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles3_73681277f08f4465bc5894864520c83b0.mp3,true
upfiles3_5c79dda76679b8b02f7831fd054c9c9a0,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles3_5c79dda76679b8b02f7831fd054c9c9a0.mp3,true
upfiles4_4f7335506aa911e4dce2c0dee397b9930,VoiceActor,voice_actor,C:\Users\cdoai\OneDrive\문서\stt project\evaluation\voice actor_data\upfiles4_4f7335506aa911e4dce2c0dee397b9930.mp3,true
